impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Classic NCCL_PROTO=Simple,268435456,1073741824,26854.500,4189.373,23641.000,45039.000,39983.683
Classic NCCL_PROTO=Simple,536870912,2147483648,52358.415,6781.723,46346.000,100171.000,41015.062
Classic NCCL_PROTO=Simple,1073741824,4294967296,100340.750,6467.756,92097.000,134752.000,42803.819
Classic NCCL_PROTO=Simple,2147483648,8589934592,194458.410,6770.321,184124.000,217242.000,44173.634
Async-2,256,1024,673.890,63.008,492.000,842.000,1.520
Async-2,512,2048,570.340,67.942,306.000,753.000,3.591
Async-2,1024,4096,628.930,69.130,439.000,808.000,6.513
Async-2,2048,8192,575.360,87.726,330.000,772.000,14.238
Async-2,4096,16384,507.845,58.451,379.000,679.000,32.262
Async-2,8192,32768,365.510,49.551,235.000,518.000,89.650
Async-2,16384,65536,480.215,66.736,295.000,640.000,136.472
Async-2,32768,131072,491.185,77.249,281.000,669.000,266.849
Async-2,65536,262144,494.930,86.130,274.000,1021.000,529.659
Async-2,131072,524288,568.580,67.289,410.000,762.000,922.101
Async-2,262144,1048576,2359.925,1332.496,1050.000,13152.000,444.326
Async-2,524288,2097152,2399.200,1443.599,1213.000,15127.000,874.105
Async-2,1048576,4194304,2434.215,1728.003,1330.000,22146.000,1723.062
Async-2,2097152,8388608,2461.535,1586.578,1214.000,18004.000,3407.877
Async-2,4194304,16777216,4444.260,1744.394,3233.000,17154.000,3775.030
Async-2,8388608,33554432,5009.630,3047.450,3409.000,28653.000,6697.986
Async-2,16777216,67108864,5512.275,2706.657,4010.000,29641.000,12174.440
Async-2,33554432,134217728,6582.270,1947.578,5264.000,21349.000,20390.796
Async-2,67108864,268435456,8886.850,2086.283,7428.000,23583.000,30205.917
Async-2,134217728,536870912,13654.295,2708.778,11937.000,27612.000,39318.831
Async-2,268435456,1073741824,22958.830,2077.921,21112.000,36673.000,46768.142
Async-2,536870912,2147483648,42866.665,3002.813,40150.000,58437.000,50096.821
Async-2,1073741824,4294967296,83764.645,4088.631,79623.000,103692.000,51274.225
Async-2,2147483648,8589934592,163811.570,6719.924,157762.000,217366.000,52437.899
Async-4,256,1024,929.325,67.056,731.000,1115.000,1.102
Async-4,512,2048,826.665,61.720,663.000,1014.000,2.477
Async-4,1024,4096,585.550,56.875,453.000,1054.000,6.995
Async-4,2048,8192,801.090,73.658,618.000,994.000,10.226
Async-4,4096,16384,829.920,82.997,589.000,1183.000,19.742
Async-4,8192,32768,715.315,86.121,516.000,933.000,45.809
Async-4,16384,65536,702.075,64.581,542.000,893.000,93.346
Async-4,32768,131072,777.240,66.308,587.000,922.000,168.638
Async-4,65536,262144,832.150,70.018,681.000,1021.000,315.020
Async-4,131072,524288,792.355,65.040,583.000,953.000,661.683
Async-4,262144,1048576,2662.955,1293.695,1545.000,16210.000,393.764
Async-4,524288,2097152,2609.980,1389.896,1491.000,15336.000,803.513
Async-4,1048576,4194304,2726.155,1483.573,1648.000,22450.000,1538.542
Async-4,2097152,8388608,2620.055,1396.945,1597.000,16922.000,3201.692
Async-4,4194304,16777216,2994.830,1925.584,1610.000,21418.000,5602.060
Async-4,8388608,33554432,5036.375,1974.293,3797.000,20705.000,6662.417
Async-4,16777216,67108864,5619.660,1904.377,4410.000,21652.000,11941.801
Async-4,33554432,134217728,7021.310,4325.678,5380.000,59474.000,19115.767
Async-4,67108864,268435456,9028.480,1964.919,7643.000,20844.000,29732.076
Async-4,134217728,536870912,13779.715,4613.551,11795.000,70409.000,38960.959
Async-4,268435456,1073741824,22756.285,1955.838,21000.000,31012.000,47184.407
Async-4,536870912,2147483648,41911.960,3401.827,39738.000,69995.000,51237.968
Async-4,1073741824,4294967296,80466.950,2796.112,78154.000,105517.000,53375.545
Async-4,2147483648,8589934592,158360.730,2452.852,155159.000,180383.000,54242.833
Async-8,256,1024,1311.945,87.155,1100.000,1639.000,0.781
Async-8,512,2048,1334.955,72.631,1145.000,1504.000,1.534
Async-8,1024,4096,1391.830,62.820,1210.000,1559.000,2.943
Async-8,2048,8192,1177.265,73.905,1024.000,1385.000,6.959
Async-8,4096,16384,1264.380,73.875,985.000,1564.000,12.958
Async-8,8192,32768,1270.520,74.858,1065.000,1431.000,25.791
Async-8,16384,65536,1198.830,85.882,968.000,1510.000,54.667
Async-8,32768,131072,1185.920,77.931,993.000,1396.000,110.523
Async-8,65536,262144,1173.895,68.215,910.000,1334.000,223.311
Async-8,131072,524288,1176.180,85.574,990.000,1620.000,445.755
Async-8,262144,1048576,3129.030,1477.718,1953.000,18459.000,335.112
Async-8,524288,2097152,3129.925,1587.259,1963.000,19498.000,670.033
Async-8,1048576,4194304,3132.900,1335.992,1979.000,13373.000,1338.793
Async-8,2097152,8388608,3246.695,1429.159,2089.000,14797.000,2583.738
Async-8,4194304,16777216,3635.530,3111.568,2188.000,38062.000,4614.792
Async-8,8388608,33554432,3824.535,1937.141,2553.000,20618.000,8773.467
Async-8,16777216,67108864,6207.460,2184.265,4886.000,23820.000,10811.002
Async-8,33554432,134217728,7103.980,2077.233,5687.000,21030.000,18893.314
Async-8,67108864,268435456,9427.795,2188.048,7999.000,24254.000,28472.772
Async-8,134217728,536870912,13755.125,2404.294,12233.000,27553.000,39030.609
Async-8,268435456,1073741824,22610.625,2345.747,20975.000,33453.000,47488.374
Async-8,536870912,2147483648,42720.035,9498.852,39751.000,133302.000,50268.771
Async-8,1073741824,4294967296,79353.285,1333.406,77771.000,87236.000,54124.631
Async-8,2147483648,8589934592,158306.330,5486.563,153535.000,218556.000,54261.473
