impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Classic NCCL_PROTO=Simple,67108864,268435456,6120.800,3375.373,4826.000,19784.000,43856.270
Classic NCCL_PROTO=Simple,134217728,536870912,11170.075,4233.473,9343.000,37464.000,48063.322
Classic NCCL_PROTO=Simple,268435456,1073741824,21150.955,5289.220,18473.000,50639.000,50765.643
Classic NCCL_PROTO=Simple,536870912,2147483648,39668.675,4861.258,36420.000,56527.000,54135.502
Classic NCCL_PROTO=Simple,1073741824,4294967296,76018.700,5119.482,70596.000,103000.000,56498.826
Classic NCCL_PROTO=Simple,2147483648,8589934592,147985.855,3351.507,145091.000,172988.000,58045.646
Async-2,256,1024,193.860,5.788,182.000,216.000,5.282
Async-2,512,2048,173.295,4.845,147.000,192.000,11.818
Async-2,1024,4096,187.115,6.038,171.000,219.000,21.890
Async-2,2048,8192,170.025,8.521,130.000,220.000,48.181
Async-2,4096,16384,177.665,9.053,121.000,216.000,92.219
Async-2,8192,32768,174.575,7.217,146.000,205.000,187.702
Async-2,16384,65536,177.155,9.577,129.000,220.000,369.936
Async-2,32768,131072,166.575,7.163,145.000,199.000,786.865
Async-2,65536,262144,172.145,7.197,156.000,193.000,1522.809
Async-2,131072,524288,177.660,8.183,150.000,210.000,2951.075
Async-2,262144,1048576,670.820,818.442,429.000,11433.000,1563.126
Async-2,524288,2097152,692.995,196.858,483.000,2929.000,3026.215
Async-2,1048576,4194304,715.200,151.761,512.000,1022.000,5864.519
Async-2,2097152,8388608,1446.440,1827.655,1093.000,26479.000,5799.486
Async-2,4194304,16777216,1570.735,1752.007,1191.000,23576.000,10681.124
Async-2,8388608,33554432,1736.000,1910.956,1359.000,24251.000,19328.590
Async-2,16777216,67108864,2204.680,1994.439,1775.000,27382.000,30439.276
Async-2,33554432,134217728,3121.815,2455.304,2559.000,25481.000,42993.492
Async-2,67108864,268435456,4694.805,2438.512,4113.000,29213.000,57177.126
Async-2,134217728,536870912,8493.530,3614.284,7441.000,32049.000,63209.397
Async-2,268435456,1073741824,16432.310,6384.138,14404.000,87300.000,65343.328
Async-2,536870912,2147483648,31396.450,5020.414,28565.000,49653.000,68398.932
Async-2,1073741824,4294967296,60162.825,5790.996,56803.000,119255.000,71389.056
Async-2,2147483648,8589934592,120364.180,6704.273,112581.000,138858.000,71366.204
Async-4,256,1024,275.885,8.604,245.000,302.000,3.712
Async-4,512,2048,254.115,8.108,227.000,279.000,8.059
Async-4,1024,4096,237.445,9.243,206.000,275.000,17.250
Async-4,2048,8192,192.850,11.944,170.000,226.000,42.479
Async-4,4096,16384,233.860,10.056,203.000,271.000,70.059
Async-4,8192,32768,231.205,8.211,199.000,269.000,141.727
Async-4,16384,65536,229.180,11.643,199.000,266.000,285.959
Async-4,32768,131072,230.225,10.741,192.000,264.000,569.321
Async-4,65536,262144,233.975,13.920,184.000,285.000,1120.393
Async-4,131072,524288,197.110,13.598,158.000,235.000,2659.875
Async-4,262144,1048576,756.830,120.027,563.000,1035.000,1385.484
Async-4,524288,2097152,776.105,172.313,574.000,2496.000,2702.150
Async-4,1048576,4194304,796.215,123.137,591.000,1040.000,5267.803
Async-4,2097152,8388608,1011.885,1320.284,636.000,12558.000,8290.080
Async-4,4194304,16777216,1501.575,1959.434,1141.000,28147.000,11173.079
Async-4,8388608,33554432,1813.165,1770.285,1423.000,20360.000,18506.000
Async-4,16777216,67108864,2495.735,4275.835,1817.000,55870.000,26889.419
Async-4,33554432,134217728,3114.785,2622.899,2549.000,30060.000,43090.527
Async-4,67108864,268435456,4876.390,3181.180,4054.000,30878.000,55047.988
Async-4,134217728,536870912,8264.905,3444.783,7277.000,31629.000,64957.905
Async-4,268435456,1073741824,15791.200,3998.950,14148.000,32685.000,67996.215
Async-4,536870912,2147483648,29813.955,4081.374,27617.000,44710.000,72029.479
Async-4,1073741824,4294967296,58164.960,5638.743,55139.000,92874.000,73841.146
Async-4,2147483648,8589934592,112724.675,4571.806,109660.000,135960.000,76202.789
Async-8,256,1024,421.810,16.514,328.000,505.000,2.428
Async-8,512,2048,420.890,11.809,347.000,457.000,4.866
Async-8,1024,4096,396.750,10.406,372.000,445.000,10.324
Async-8,2048,8192,316.295,14.188,276.000,356.000,25.900
Async-8,4096,16384,309.500,14.805,272.000,355.000,52.937
Async-8,8192,32768,366.565,14.612,316.000,418.000,89.392
Async-8,16384,65536,372.545,13.864,332.000,423.000,175.914
Async-8,32768,131072,306.280,12.730,276.000,352.000,427.948
Async-8,65536,262144,306.365,12.660,260.000,347.000,855.659
Async-8,131072,524288,289.755,10.288,261.000,317.000,1809.418
Async-8,262144,1048576,814.805,127.725,592.000,1417.000,1286.904
Async-8,524288,2097152,874.470,157.365,672.000,2241.000,2398.198
Async-8,1048576,4194304,1089.600,1514.275,705.000,15477.000,3849.398
Async-8,2097152,8388608,1147.985,1416.089,752.000,16217.000,7307.245
Async-8,4194304,16777216,1226.470,1395.503,787.000,13214.000,13679.271
Async-8,8388608,33554432,2183.210,2489.211,1566.000,24035.000,15369.310
Async-8,16777216,67108864,2294.605,1988.350,1909.000,29658.000,29246.369
Async-8,33554432,134217728,3229.695,2442.642,2669.000,27324.000,41557.400
Async-8,67108864,268435456,4693.050,2421.457,4152.000,29023.000,57198.508
Async-8,134217728,536870912,8303.805,3426.240,7343.000,31738.000,64653.603
Async-8,268435456,1073741824,15592.830,3921.403,14011.000,31310.000,68861.254
Async-8,536870912,2147483648,29461.635,5134.359,27460.000,84433.000,72890.851
Async-8,1073741824,4294967296,56665.115,4273.126,54189.000,77240.000,75795.616
Async-8,2147483648,8589934592,110964.985,6081.011,107554.000,156228.000,77411.218
